,id,conversation_id,created_at,date,tweet,hashtags
0,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"A #Containment 
operation (large outbreak or cluster) is deemed to be over 28 days from the date the last case 
in the containment zone tests negative.
#lockdown #Covid_19 #coronavirusinindia #Ministry_of_Health","['#containment', '#lockdown', '#covid_19', '#coronavirusinindia', '#ministry_of_health']"
1,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"@IndiGo6E I had a round trip from Pune to Lucknow, on 7th May to 13th May for 3 passengers.
This trip won't be feasible as per current CoVID scenarios and lockdown. Could you please let me know the cancellation options?
DM me for details like PNR or anyth",[]
2,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"Kesar sheera or kesari with rava, sugar, ghee and kesar paani! Ready in less then 20 mins 😋 Whats your favorite homemade dessert? #foodiesofindia #mumbai #lockdown #covid #cooking #indianfood #dessert @ Mumbai,…  https://www.instagram.com/p/B_FXQ7Kp9HP/?igshid=jr7jqblsgjnb …","['#foodiesofindia', '#mumbai', '#lockdown', '#covid', '#cooking', '#indianfood', '#dessert']"
3,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"STUPID Fucking woman, Ingraham, we didn't lockdown to protect against HIV, we just used a condom or stopped fucking. Only SOCIAL DISTANCING will resolve Covid-19 
Anthony Fauci shuts down Laura Ingraham when she complains we didn’t have lockdowns over AIDS  https://www.rawstory.com/2020/04/anthony-fauci-shuts-down-laura-ingraham-when-she-complains-we-didnt-have-lockdowns-over-aids/#.XpmorMX1Ero.twitter …",[]
4,1.25E+18,1.25E+18,1.59E+12,17-04-2020,Due to COVID-19 Lockdown it's become difficult to run the website due to paucity of fund we request our well wishers to donate us through the Donate option of our website or you can donate online through UPI virtual payment  pic.twitter.com/ySuIBnSmuN,[]
5,1.25E+18,1.25E+18,1.59E+12,17-04-2020,This is serious... Is it #secondwave of #Covid_19 If true then every country should be prepared. Virus don't understand economy shutdown or normal life. Govt. should take a note to survive all this. #lockdown  and testing should be the priority at present.  https://twitter.com/punjabkesari/status/1251057811645063170 …,"['#secondwave', '#covid_19', '#lockdown']"
6,1.25E+18,1.25E+18,1.59E+12,17-04-2020,I wonder why the no of covid cases just keep increasing even if we are in strict lock down... each people should take responsibility for it or we all will be lock down for this whole year,[]
7,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"@amitshah Sir, shocking news of marriage ceremony of Kumaraswami's son. Are they above the law?? People are observing lockdown so diligently and what authority does they have to make community venerable of covid ? Any action be taken or it will be a mocke",[]
8,1.25E+18,1.25E+18,1.59E+12,17-04-2020,@ParivahanUP @dmgbnagar I had booked Fency Car number UP16CN5353 on 18th March 2020 but due to covid-19 lockdown not able to purchase car. request either extension for this lockdown period or refund whatever feasible. Hope you will understand the situatio,[]
9,1.25E+18,1.25E+18,1.59E+12,17-04-2020,"Butt some more People who are  attacking doctor's  , health volunteers once see this photo and decide u r self Wat u r dng it's correct or Not respect for Doctor and police Officers who working (24×7) under covid 19 lock Down 🔒🇮🇳✔️",[]
